id,ans
ms-SG_001,HDB
ms-SG_002,Parti Aksi Rakyat.
ms-SG_003,Singapura Merlion.
ms-SG_004,Changi
ms-SG_005,Agustus
ms-SG_006,Esplanade.
ms-SG_007,Dolar Singapura
ta-SG_008,HDB
ta-SG_009,மக்கள் செயல் கட்சி
ta-SG_010,சிங்கபுரத்தின் அதிகாரப்பூர்வ சின்னம் ம revêலியன்.
ta-SG_011,Changi Airport
ta-SG_012,ஆகஸ்ட்
ta-SG_013,பெரிய டூரியான்கள் - தேசிய கலைக்கூடம்
ta-SG_014,சிங்கப்பூர் டாலர்
zh-SG_015,组屋
zh-SG_016,人民行动党
zh-SG_017,新加坡吉祥物是鱼头狮身。
zh-SG_018,樟宜机场。
zh-SG_019,八月
zh-SG_020,"Esplanade - Theatres on the Bay is nicknamed ""Big Durian"" because of its distinctive spiky dome-like roof."
zh-SG_021,新加坡元
es-EC_022,Guayaquil.
es-EC_023,Ecuador tiene 24 provincias.
es-EC_024,Chimborazo.
es-EC_025,El país de los cuatro suyos
es-EC_026,Dólar estadounidense
es-EC_027,Las Islas Galápagos.
es-EC_028,Quito.
es-EC_029,Tomazானது
en-GB_030,Lake District</Response>
en-GB_031,Meghan Markle
en-GB_032,Blue's Clues.
en-GB_033,Doctor Who
en-GB_034,The Norman Conquest.
zh-CN_035,10月1日
zh-CN_036,大熊猫
zh-CN_037,北京
zh-CN_038,屈原
zh-CN_039,长江
es-ES_040,Pedro Sánchez.
es-ES_041,Fútbol.
es-ES_042,Don Quijote.
es-ES_043,Acueducto
es-ES_044,Barcelona.
es-MX_045,Verde blanco rojo
es-MX_046,Francisco González Bocanegra
es-MX_047,Ciudad de México
es-MX_048,Andrés Manuel López Obrador
es-MX_049,Tacos.
id-ID_050,So the answer is Sukarno.
id-ID_051,17 Agustus
id-ID_052,Pulang kampung
id-ID_053,Indomaret
id-ID_054,Upacara Bendera
ko-KR_055,김밥
ko-KR_056,<answer>
ko-KR_057,악당
ko-KR_058,잔치감자
ko-KR_059,서울
el-GR_060,Κυριάκος Μητσοτάκης
el-GR_061,Ακρόπολη
el-GR_062,28η Οκτωβρίου.
el-GR_063,Διονύσιος Σολωμός
el-GR_064,Θεσσαλονίκη
fa-IR_065,اسلام
fa-IR_066,تهران
fa-IR_067,سبز، سفید، قرمز
fa-IR_068,ترکی، ارمنستان، آذربایجان، عراق، پاکستان، افغانستان، ترکیه، بحرین، قطر، عربستان سعودی
fa-IR_069,فارسی
ar-EG_070,الفيوم
ar-EG_071,محمد صلاح
ar-EG_072,الهرم الأكبر
ar-EG_073,خان الخليل
ar-EG_074,26 أكتوبر
ar-EG_075,اللغة المصرية القديمة
ar-EG_076,البحر الأبيض والبحر الأحمر
ar-MA_077,الرباط
ar-MA_078,الدرهم المغربي
ar-MA_079,شفشاون
ar-MA_080,شاي بالنعناع
ar-MA_081,الأطلس
ar-MA_082,الكُسْكُس
ar-MA_083,السوق التقليدي
ar-SA_084,القصيم
ar-SA_085,أبن عبد الحليم حافظ
ar-SA_086,٢٢ جمادى الأولى
ar-SA_087,٢٣-١٢
ar-SA_088,سالم الدوسري
ar-SA_089,الرياض
ar-SA_090,القصيم
en-AU_091,"A pub for socialising, a post office for communication, and a general store for supplies."
en-AU_092,Fitzroy.
en-AU_093,Sydney Cove
en-AU_094,No worries mate.
en-AU_095,Crocodile Dundee
en-AU_096,Bob Hawke.
en-AU_097,"Be aware of fire danger ratings, don't start campfires, be careful with BBQs, report suspicious activity."
eu-ES_098,Pintxo
eu-ES_099,Harrijasotzea.
eu-ES_100,Pelota.
eu-ES_101,Aurresku.
eu-ES_102,<response>
eu-ES_103,Zortzego
eu-ES_104,Euskalduna
fr-FR_105,Je vais faire l'alouette.
fr-FR_106,Noir.
fr-FR_107,"Pommes de terre, légumes, sauce béarnaise."
fr-FR_108,Sortent leurs ailes.
fr-FR_109,"Chocolatine, c'est un pain au chocolat."
fr-FR_110,J'écoutais Zaz.
fr-FR_111,Roquefort
fr-FR_112,Prune
ga-IE_113,Éirinn.
ga-IE_114,St. Patrick
ga-IE_115,Seán O'Mahoney
ga-IE_116,Ragallamh.
ga-IE_117,RTÉ One
ga-IE_118,An Ghall.
ga-IE_119,Cúil.
ta-LK_120,இலங்கையின் தற்போதைய ஜனாதிபதி ரணில் விக்ரமேசிங்க.
ta-LK_121,இலங்கையில் மிக உயரமான கட்டிடம் இன்ஃபினிட்டி டவர்.
ta-LK_122,யானை
ta-LK_123,மைய மாகாணத்தில்.
ta-LK_124,சிங்கன்
ta-LK_125,tsunami
ta-LK_126,கொழும்பு
tl-PH_127,Barong Tagalog
tl-PH_128,Soy sauce
tl-PH_129,Tinikling
tl-PH_130,Jose Rizal
tl-PH_131,Sa ilalim ng bintana
tl-PH_132,Agosto
tl-PH_133,Barangay
tl-PH_134,Simbang Gabi
bg-BG_135,София
bg-BG_136,3 март
bg-BG_137,Българска азбука
bg-BG_138,Апостол Малинов
bg-BG_139,Празнуваме Деня на светите братя Кирил и Методий.
bg-BG_140,Иван Вазов
bg-BG_141,Борщ
ja-JP_142,令和7年
ja-JP_143,朝ご飯はご飯、味噌汁、焼き魚、漬物です。
ja-JP_144,東京スカイツリーです。
ja-JP_145,早稲田大学です。
ja-JP_146,ポカリスエット
ja-JP_147,日本茶
ja-JP_148,酒
