id	question	lang_region	q_id	question_en	answer_en	answer
ms-SG_001	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?	ms-SG	001	What is the common acronym for public housing flats where most Singaporeans live?	HDB	HDB
ms-SG_002	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?	ms-SG	002	Which political party has been Singapore's ruling party since 1959?	People's Action Party (PAP)	Parti Tindakan Rakyat (PAP)
ms-SG_003	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?	ms-SG	003	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish?	Merlion	Merlion
ms-SG_004	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?	ms-SG	004	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?	Changi Airport	Lapangan Terbang Changi
ms-SG_005	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?	ms-SG	005	Singapore celebrates National Day every year in which month?	August	Ogos
ms-SG_006	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"	ms-SG	006	Which iconic Singaporean arts center is better known as the "big durian"?	Esplanade	Esplanade
ms-SG_007	Apakah mata wang rasmi Singapura?	ms-SG	007	What is Singapore's official currency?	Singapore Dollar	Dolar Singapura
ta-SG_008	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?	ta-SG	008	What is the common abbreviation for public housing units where most Singaporeans live?	HDB	எச்டிபி
ta-SG_009	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?	ta-SG	009	Which political party has been Singapore's ruling party since 1959?	People's Action Party (PAP)	மக்கள் நடவடிக்கைக் கட்சி (PAP)
ta-SG_010	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?	ta-SG	010	What is the official emblem of Singapore, a mythical creature with the head of a lion and the body of a fish?	Merlion	மெர்லியான்
ta-SG_011	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?	ta-SG	011	What is the name of Singapore's premier international airport, frequently ranked among the world's best?	Changi Airport	சாங்கி விமான நிலையம்
ta-SG_012	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?	ta-SG	012	Which month does Singapore celebrate its National Day each year?	August	ஆகஸ்ட்
