id	question
ms-SG_001	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?
ms-SG_002	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?
ms-SG_003	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?
ms-SG_004	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?
ms-SG_005	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?
ms-SG_006	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"
ms-SG_007	Apakah mata wang rasmi Singapura?
ta-SG_008	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?
ta-SG_009	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?
ta-SG_010	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?
ta-SG_011	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?
ta-SG_012	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?
ta-SG_013	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?
ta-SG_014	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?
zh-SG_015	新加坡大多数国民居住的公共住房的通用简称是什么？
zh-SG_016	自1959年以来，哪个政党一直是新加坡的执政党？
zh-SG_017	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。
zh-SG_018	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。
zh-SG_019	新加坡每年的国庆日在几月份？
zh-SG_020	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？
zh-SG_021	新加坡的官方货币是什么？
es-EC_022	¿Cuál es la ciudad más poblada de Ecuador?
es-EC_023	¿Cuántas provincias tiene Ecuador?
